LINK_ID,MULTI_ID,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,REMARK
1000000301,1,103,000,46,종로,
1000000302,1,103,000,46,종로,
1000000303,1,103,000,46,종로,
1000000401,1,103,000,46,종로,
1000000402,1,103,000,46,종로,
1000000403,1,103,000,46,종로,
1000000501,1,103,000,46,종로,
1000000502,1,103,000,46,종로,
1000000503,1,103,000,46,종로,
1000000601,1,103,000,46,종로,
1000000602,1,103,000,46,종로,
1000000603,1,103,000,46,종로,
1000000701,1,103,000,46,새문안로,
1000000702,1,103,000,46,새문안로,
1000000703,1,103,000,46,새문안로,
1000000801,1,103,000,46,새문안로,
1000000802,1,103,000,46,새문안로,
1000000803,1,103,000,46,새문안로,
1000000901,1,103,000,46,새문안로,
1000000902,1,103,000,46,새문안로,
1000000903,1,103,000,46,새문안로,
1000001001,1,103,000,46,새문안로,
1000001002,1,103,000,46,새문안로,
1000001003,1,103,000,46,새문안로,
1000001101,1,103,000,46,종로,
1000001102,1,103,000,46,종로,
1000001201,1,103,000,46,종로,
1000001202,1,103,000,46,종로,
1000001301,1,103,000,46,종로,
1000001302,1,103,000,46,종로,
1000001303,1,103,000,46,종로,
1000001401,1,103,000,46,종로,
1000001402,1,103,000,46,종로,
1000001403,1,103,000,46,종로,
1000001501,1,103,000,46,종로,
1000001502,1,103,000,46,종로,
1000001503,1,103,000,46,종로,
1000001504,1,103,000,46,종로,
1000001505,1,103,000,46,종로,
1000001601,1,103,000,46,종로,
1000001602,1,103,000,46,종로,
1000001603,1,103,000,46,종로,
1000001604,1,103,000,46,종로,
1000001605,1,103,000,46,종로,
1000001700,1,103,000,46,종로,
1000001801,1,103,000,46,종로,
1000001802,1,103,000,46,종로,
1000001901,1,103,000,46,종로,
1000001902,1,103,000,46,종로,
1000002001,1,103,000,46,종로,
1000002002,1,103,000,46,종로,
1000002003,1,103,000,46,종로,
1000002100,1,103,000,46,종로,
1000002201,1,103,000,46,종로,
1000002301,1,103,000,46,종로,
1000002302,1,103,000,46,종로,
1000002303,1,103,000,46,종로,
1000002401,1,103,000,46,종로,
1000002402,1,103,000,46,종로,
1000002404,1,103,000,46,종로,
1000022401,1,103,000,46,새문안로,
1000022402,1,103,000,46,새문안로,
1000022501,1,103,000,46,새문안로,
1000022502,1,103,000,46,새문안로,
1010000101,1,103,000,46,새문안로,
1010000102,1,103,000,46,새문안로,
1010000103,1,103,000,46,새문안로,
1010000104,1,103,000,46,새문안로,
1010000201,1,103,000,46,새문안로,
1010000202,1,103,000,46,새문안로,
1010000203,1,103,000,46,새문안로,
1010000204,1,103,000,46,새문안로,
1040005101,1,103,000,47,동일로,
1040005103,1,103,000,47,동일로,
1040005202,1,103,000,47,동일로,
1040005204,1,103,000,47,동일로,
1040005301,1,103,000,47,동일로,
1040005302,1,103,000,47,동일로,
1040005401,1,103,000,47,동일로,
1040005402,1,103,000,47,동일로,
1050000401,1,103,000,46,왕산로,
1050000403,1,103,000,46,왕산로,
1050000404,1,103,000,46,왕산로,
1050000405,1,103,000,46,왕산로,
1050000406,1,103,000,46,왕산로,
1050000501,1,103,000,46,왕산로,
1050000502,1,103,000,46,왕산로,
1050000503,1,103,000,46,왕산로,
1050000504,1,103,000,46,왕산로,
1050000505,1,103,000,46,왕산로,
1050000601,1,103,000,46,왕산로,
1050000602,1,103,000,46,왕산로,
1050000603,1,103,000,46,왕산로,
1050000701,1,103,000,46,왕산로,
1050000702,1,103,000,46,왕산로,
1050000703,1,103,000,46,왕산로,
1050000801,1,103,000,46,왕산로,
1050000802,1,103,000,46,왕산로,
1050000803,1,103,000,46,왕산로,
1050000804,1,103,000,46,왕산로,
1050000805,1,103,000,46,왕산로,
1050000901,1,103,000,46,왕산로,
1050000903,1,103,000,46,왕산로,
1050000904,1,103,000,46,왕산로,
1050001001,1,103,000,46,왕산로,
1050001002,1,103,000,46,왕산로,
1050001102,1,103,000,46,왕산로,
1050001103,1,103,000,46,왕산로,
1050001201,1,103,000,46,왕산로,
1050001300,1,103,000,46,왕산로,
1050001401,1,103,000,46,왕산로,
1050001402,1,103,000,46,왕산로,
1050001501,1,103,000,46,왕산로,
1050001502,1,103,000,46,왕산로,
1050001600,1,103,000,46,왕산로,
1050001701,1,103,000,46,왕산로,
1050002000,1,103,000,46,왕산로,
1050002102,1,103,000,46,왕산로,
1050002103,1,103,000,46,왕산로,
1050002401,1,103,000,46,망우로,
1050002402,1,103,000,46,망우로,
1050002403,1,103,000,46,망우로,
1050002404,1,103,000,46,망우로,
1050002501,1,103,000,46,망우로,
1050002502,1,103,000,46,망우로,
1050002503,1,103,000,46,망우로,
1050002504,1,103,000,46,망우로,
1050002600,1,103,000,46,망우로,
1050002700,1,103,000,46,망우로,
1050002801,1,103,000,46,망우로,
1050002802,1,103,000,46,망우로,
1050002901,1,103,000,46,망우로,
1050002902,1,103,000,46,망우로,
1050003001,1,103,003,46,망우로,
1050003101,1,103,003,46,망우로,
1060000101,1,103,000,47,동일로,
1060000102,1,103,000,47,동일로,
1060000103,1,103,000,47,동일로,
1060000201,1,103,000,47,동일로,
1060000202,1,103,000,47,동일로,
1060000301,1,103,000,47,동일로,
1060000302,1,103,000,47,동일로,
